ET_time(sec) 	 time(sec of day) 	 freq_residual(Hz=exp-theo) 	 exp_dopp 	 theo_dopp 
687365748.4323573	10479.25000	-2847.313640	17460.15680	20307.47044
687365748.6823573	10479.50000	-2847.900646	17459.53320	20307.43385
687365748.9323573	10479.75000	-2846.913351	17460.48390	20307.39725
687365749.1823573	10480.00000	-2843.082756	17464.27790	20307.36066
687365749.4323573	10480.25000	-2846.513659	17460.81040	20307.32406
687365749.6823573	10480.50000	-2846.340461	17460.94700	20307.28746
687365749.9323573	10480.75000	-2846.171963	17461.07890	20307.25086
687365750.1823573	10481.00000	-2846.586364	17460.62790	20307.21426
687365750.4323573	10481.25000	-2845.026064	17462.15160	20307.17766
687365750.6823573	10481.50000	-2847.116162	17460.02490	20307.14106
687365750.9323573	10481.75000	-2847.812460	17459.29200	20307.10446
687365751.1823573	10482.00000	-2846.006657	17461.06120	20307.06786
687365751.4323573	10482.25000	-2846.665053	17460.36620	20307.03125
687365751.6823573	10482.50000	-2848.283048	17458.71160	20306.99465
687365751.9323573	10482.75000	-2847.218343	17459.73970	20306.95804
687365752.1823573	10483.00000	-2843.397437	17463.52400	20306.92144
687365752.4323573	10483.25000	-2847.763330	17459.12150	20306.88483
687365752.6823573	10483.50000	-2847.854320	17458.99390	20306.84822
687365752.9323573	10483.75000	-2844.917612	17461.89400	20306.81161
687365753.1823573	10484.00000	-2844.032501	17462.74250	20306.77500
687365753.4323573	10484.25000	-2844.862889	17461.87550	20306.73839
687365753.6823573	10484.50000	-2841.198277	17465.50350	20306.70178
687365753.9323573	10484.75000	-2844.728164	17461.93700	20306.66516
687365754.1823573	10485.00000	-2844.012051	17462.61650	20306.62855
687365754.4323573	10485.25000	-2844.838836	17461.75310	20306.59194
687365754.6823573	10485.50000	-2843.555820	17462.99950	20306.55532
687365754.9323573	10485.75000	-2843.976003	17462.54270	20306.51870
687365755.1823573	10486.00000	-2845.439385	17461.04270	20306.48209
687365755.4323573	10486.25000	-2844.113767	17462.33170	20306.44547
687365755.6823573	10486.50000	-2841.802047	17464.60680	20306.40885
687365755.9323573	10486.75000	-2842.655627	17463.71660	20306.37223
687365756.1823573	10487.00000	-2842.224606	17464.11100	20306.33561
687365756.4323573	10487.25000	-2842.323484	17463.97550	20306.29898
687365756.6823573	10487.50000	-2843.389161	17462.87320	20306.26236
687365756.9323573	10487.75000	-2844.857536	17461.36820	20306.22574
687365757.1823573	10488.00000	-2839.383411	17466.80570	20306.18911
687365757.4323573	10488.25000	-2840.669085	17465.48340	20306.15249
687365757.6823573	10488.50000	-2841.234559	17464.88130	20306.11586
687365757.9323573	10488.75000	-2841.914331	17464.16490	20306.07923
687365758.1823573	10489.00000	-2839.336503	17466.70610	20306.04260
687365758.4323573	10489.25000	-2841.843473	17464.16250	20306.00597
687365758.6823573	10489.50000	-2841.515143	17464.45420	20305.96934
687365758.9323573	10489.75000	-2840.898810	17465.03390	20305.93271
687365759.1823573	10490.00000	-2842.906178	17462.98990	20305.89608
687365759.4323573	10490.25000	-2843.913945	17461.94550	20305.85945
687365759.6823573	10490.50000	-2841.448211	17464.37460	20305.82281
687365759.9323573	10490.75000	-2840.844276	17464.94190	20305.78618
687365760.1823573	10491.00000	-2842.798340	17462.95120	20305.74954
687365760.4323573	10491.25000	-2840.315503	17465.39740	20305.71290
687365760.6823573	10491.50000	-2840.827965	17464.84830	20305.67627
687365760.9323573	10491.75000	-2840.563927	17465.07570	20305.63963
687365761.1823573	10492.00000	-2839.985386	17465.61760	20305.60299
687365761.4323573	10492.25000	-2841.187946	17464.37840	20305.56635
687365761.6823573	10492.50000	-2839.481605	17466.04810	20305.52970
687365761.9323573	10492.75000	-2839.618963	17465.87410	20305.49306
687365762.1823573	10493.00000	-2842.063219	17463.39320	20305.45642
687365762.4323573	10493.25000	-2835.763475	17469.65630	20305.41978
687365762.6823573	10493.50000	-2840.521530	17464.86160	20305.38313
687365762.9323573	10493.75000	-2838.229084	17467.11740	20305.34648
687365763.1823573	10494.00000	-2843.824437	17461.48540	20305.30984
687365763.4323573	10494.25000	-2838.834589	17466.43860	20305.27319
687365763.6823573	10494.50000	-2838.640441	17466.59610	20305.23654
687365763.9323573	10494.75000	-2838.598491	17466.60140	20305.19989
687365764.1823573	10495.00000	-2838.620740	17466.54250	20305.16324
687365764.4323573	10495.25000	-2839.191988	17465.93460	20305.12659
687365764.6823573	10495.50000	-2838.576935	17466.51300	20305.08994
687365764.9323573	10495.75000	-2836.991583	17468.06170	20305.05328
687365765.1823573	10496.00000	-2835.489928	17469.52670	20305.01663
687365765.4323573	10496.25000	-2837.199272	17467.78070	20304.97997
687365765.6823573	10496.50000	-2837.046317	17467.89700	20304.94332
687365765.9323573	10496.75000	-2834.425360	17470.48130	20304.90666
687365766.1823573	10497.00000	-2838.122301	17466.74770	20304.87000
687365766.4323573	10497.25000	-2837.895743	17466.93760	20304.83334
687365766.6823573	10497.50000	-2834.939583	17469.85710	20304.79668
687365766.9323573	10497.75000	-2836.047823	17468.71220	20304.76002
687365767.1823573	10498.00000	-2836.882561	17467.84080	20304.72336
687365767.4323573	10498.25000	-2836.412299	17468.27440	20304.68670
687365767.6823573	10498.50000	-2836.177336	17468.47270	20304.65004
687365767.9323573	10498.75000	-2835.262771	17469.35060	20304.61337
687365768.1823573	10499.00000	-2833.422006	17471.15470	20304.57671
687365768.4323573	10499.25000	-2835.387940	17469.15210	20304.54004
687365768.6823573	10499.50000	-2834.083972	17470.41940	20304.50337
687365768.9323573	10499.75000	-2835.057704	17469.40900	20304.46670
687365769.1823573	10500.00000	-2835.244035	17469.18600	20304.43004
687365769.4323573	10500.25000	-2835.299165	17469.09420	20304.39337
687365769.6823573	10500.50000	-2836.124295	17468.23240	20304.35669
687365769.9323573	10500.75000	-2835.483923	17468.83610	20304.32002
687365770.1823573	10501.00000	-2835.125750	17469.15760	20304.28335
687365770.4323573	10501.25000	-2832.440476	17471.80620	20304.24668
687365770.6823573	10501.50000	-2835.957502	17468.25250	20304.21000
687365770.9323573	10501.75000	-2833.783726	17470.38960	20304.17333
687365771.1823573	10502.00000	-2833.736051	17470.40060	20304.13665
687365771.4323573	10502.25000	-2834.677673	17469.42230	20304.09997
687365771.6823573	10502.50000	-2834.298395	17469.76490	20304.06330
687365771.9323573	10502.75000	-2834.947217	17469.07940	20304.02662
687365772.1823573	10503.00000	-2832.780937	17471.20900	20303.98994
687365772.4323573	10503.25000	-2832.985055	17470.96820	20303.95326
687365772.6823573	10503.50000	-2834.441574	17469.47500	20303.91657
687365772.9323573	10503.75000	-2833.212391	17470.66750	20303.87989
687365773.1823573	10504.00000	-2833.162108	17470.68110	20303.84321
687365773.4323573	10504.25000	-2831.446223	17472.36030	20303.80652
687365773.6823573	10504.50000	-2836.818937	17466.95090	20303.76984
687365773.9323573	10504.75000	-2831.975051	17471.75810	20303.73315
687365774.1823573	10505.00000	-2833.906565	17469.78990	20303.69646
687365774.4323573	10505.25000	-2831.803876	17471.85590	20303.65978
687365774.6823573	10505.50000	-2832.431186	17471.19190	20303.62309
687365774.9323573	10505.75000	-2830.260297	17473.32610	20303.58640
687365775.1823573	10506.00000	-2830.884906	17472.66480	20303.54971
687365775.4323573	10506.25000	-2833.122614	17470.39040	20303.51301
687365775.6823573	10506.50000	-2832.949421	17470.52690	20303.47632
687365775.9323573	10506.75000	-2831.963927	17471.47570	20303.43963
687365776.1823573	10507.00000	-2832.707133	17470.69580	20303.40293
687365776.4323573	10507.25000	-2830.561637	17472.80460	20303.36624
687365776.6823573	10507.50000	-2830.835141	17472.49440	20303.32954
687365776.9323573	10507.75000	-2833.335744	17469.95710	20303.29284
687365777.1823573	10508.00000	-2832.263845	17470.99230	20303.25615
687365777.4323573	10508.25000	-2830.585946	17472.63350	20303.21945
687365777.6823573	10508.50000	-2833.795746	17469.38700	20303.18275
687365777.9323573	10508.75000	-2830.593845	17472.55220	20303.14605
687365778.1823573	10509.00000	-2831.486143	17471.62320	20303.10934
687365778.4323573	10509.25000	-2830.246140	17472.82650	20303.07264
687365778.6823573	10509.50000	-2832.673636	17470.36230	20303.03594
