i,timesec,power_total,downconfreq,dopp_firstmoment,exp_dopp
27,21746.5,40.89272763131018,8410640000.0,-41970.822949089736,-333972.8229494095
27,21746.75,41.044770729334004,8410640000.0,-41966.61210078834,-333968.6121006012
28,21747.0,41.50884505892253,8410640000.0,-41962.517644299376,-333964.5176439285
28,21747.25,40.955832053393735,8410640000.0,-41958.496534051956,-333960.49653434753
28,21747.5,41.757346865574135,8410640000.0,-41954.35476855405,-333956.35476875305
28,21747.75,39.76139430115157,8410640000.0,-41950.24561132094,-333952.2456111908
29,21748.0,39.94961482821405,8410640000.0,-41946.35312354943,-333948.35312366486
29,21748.25,39.968902453932294,8410640000.0,-41942.11671723605,-333944.11671733856
29,21748.5,38.099944123372296,8410640000.0,-41938.206642677775,-333940.20664310455
29,21748.75,40.2361455156724,8410640000.0,-41934.01217630859,-333936.0121765137
30,21749.0,39.51359033401177,8410640000.0,-41929.961774641255,-333931.96177482605
30,21749.25,40.38027625515279,8410640000.0,-41925.88419404434,-333927.8841943741
30,21749.5,40.2788364146757,8410640000.0,-41921.8781738348,-333923.8781738281
30,21749.75,40.37702590018941,8410640000.0,-41917.759539784085,-333919.7595396042
31,21750.0,41.592693896738844,8410640000.0,-41913.793961430696,-333915.79396152496
31,21750.25,40.177903289446796,8410640000.0,-41909.56144300739,-333911.56144332886
31,21750.5,35.96229215062388,8410640000.0,-41905.48649754279,-333907.486497879
31,21750.75,35.66319714586837,8410640000.0,-41901.5179511274,-333903.51795101166
32,21751.0,34.54040519016325,8410640000.0,-41897.43809899235,-333899.43809890747
32,21751.25,33.70399984532792,8410640000.0,-41893.19612124921,-333895.1961212158
32,21751.5,34.75833953827381,8410640000.0,-41889.14927329817,-333891.1492729187
32,21751.75,37.39355909350918,8410640000.0,-41885.126278646436,-333887.12627887726
33,21752.0,37.280015695336985,8410640000.0,-41881.017882960354,-333883.0178833008
33,21752.25,39.52743726984755,8410640000.0,-41876.91889595373,-333878.91889572144
33,21752.5,38.688299387037524,8410640000.0,-41872.858779260125,-333874.85877895355
33,21752.75,39.21729901450088,8410640000.0,-41868.81628532739,-333870.81628513336
34,21753.0,39.53310009299762,8410640000.0,-41864.707090932396,-333866.7070913315
34,21753.25,36.929684036856166,8410640000.0,-41860.67664673297,-333862.6766471863
34,21753.5,38.55717373374776,8410640000.0,-41856.57262599223,-333858.5726261139
34,21753.75,30.916578213814205,8410640000.0,-41852.59381249678,-333854.5938129425
35,21754.0,25.385558490024998,8410640000.0,-41848.41262344698,-333850.41262340546
35,21754.25,16.35073628066066,8410640000.0,-41844.5408308895,-333846.5408306122
35,21754.5,15.41625812004918,8410640000.0,-41840.37955648402,-333842.3795566559
35,21754.75,12.84239201818756,8410640000.0,-41836.085636808726,-333838.0856370926
36,21755.0,13.77894142678371,8410640000.0,-41832.12919263531,-333834.1291923523
36,21755.25,18.05391038818324,8410640000.0,-41828.11850924545,-333830.1185092926
36,21755.5,18.318495700185906,8410640000.0,-41823.77744175648,-333825.77744197845
36,21755.75,24.2238757069754,8410640000.0,-41819.84846733242,-333821.84846687317
37,21756.0,30.32864346154776,8410640000.0,-41815.63654628457,-333817.63654613495
37,21756.25,38.28395418172159,8410640000.0,-41811.70226343196,-333813.7022638321
37,21756.5,45.265843577073,8410640000.0,-41807.60093704502,-333809.60093688965
37,21756.75,43.16524240269879,8410640000.0,-41803.617555822064,-333805.6175556183
38,21757.0,41.210194059160344,8410640000.0,-41799.48920674562,-333801.4892063141
38,21757.25,35.7318059272486,8410640000.0,-41795.35623108583,-333797.3562307358
38,21757.5,33.36576196828798,8410640000.0,-41791.02738540526,-333793.02738571167
38,21757.75,36.27851078226608,8410640000.0,-41787.3118460109,-333789.3118457794
