i,timesec,power_total,downconfreq,dopp_firstmoment,exp_dopp, second_moment,RTEC
27,21746.25,39.952426159806436,8410640000.0,-41974.72536889389,-333976.72536849976,4.854439718823026,2.8131372963159366e+30
27,21746.5,40.89272763131018,8410640000.0,-41970.822949089736,-333972.8229494095,4.675168891335928,2.726294423474233e+30
27,21746.75,41.044770729334004,8410640000.0,-41966.61210078834,-333968.6121006012,5.328417867335401,3.040233205774427e+30
28,21747.0,41.50884505892253,8410640000.0,-41962.517644299376,-333964.5176439285,5.1892412024481605,2.9739127050665303e+30
28,21747.25,40.955832053393735,8410640000.0,-41958.496534051956,-333960.49653434753,5.480398443411653,3.112326233936546e+30
28,21747.5,41.757346865574135,8410640000.0,-41954.35476855405,-333956.35476875305,5.664210584723573,3.199075532510146e+30
28,21747.75,39.76139430115157,8410640000.0,-41950.24561132094,-333952.2456111908,4.77622129844765,2.775313419410837e+30
29,21748.0,39.94961482821405,8410640000.0,-41946.35312354943,-333948.35312366486,4.779674592917161,2.7769854868949e+30
29,21748.25,39.968902453932294,8410640000.0,-41942.11671723605,-333944.11671733856,4.64040303622889,2.709389354540215e+30
29,21748.5,38.099944123372296,8410640000.0,-41938.206642677775,-333940.20664310455,4.728935632948436,2.752397599874447e+30
29,21748.75,40.2361455156724,8410640000.0,-41934.01217630859,-333936.0121765137,5.80179626694661,3.263701241925887e+30
30,21749.0,39.51359033401177,8410640000.0,-41929.961774641255,-333931.96177482605,3.9520785821498543,2.370079848272588e+30
30,21749.25,40.38027625515279,8410640000.0,-41925.88419404434,-333927.8841943741,4.060335843827403,2.424059630454551e+30
30,21749.5,40.2788364146757,8410640000.0,-41921.8781738348,-333923.8781738281,4.734369791449824,2.755033064865322e+30
30,21749.75,40.37702590018941,8410640000.0,-41917.759539784085,-333919.7595396042,4.078441869733993,2.4330641821829603e+30
31,21750.0,41.592693896738844,8410640000.0,-41913.793961430696,-333915.79396152496,4.570897048507799,2.675528211039488e+30
