YYYY DOY HR MN      V
2021 277  2 45   364.0
2021 277  2 50   364.4
2021 277  2 55   363.9
2021 277  3  0   365.3
2021 277  3  5   364.5
2021 277  3 10   363.6
2021 277  3 15   360.7
2021 277  3 20   360.4
2021 277  3 25   362.4
2021 277  3 30   362.9
2021 277  3 35   363.4
2021 277  3 40   364.8
2021 277  3 45   363.6
2021 277  3 50   362.8
2021 277  3 55   361.8
2021 277  4  0   363.3
2021 277  4  5 99999.9
2021 277  4 10 99999.9
2021 277  4 15 99999.9
2021 277  4 20 99999.9
2021 277  4 25   363.2
2021 277  4 30   363.6
2021 277  4 35   366.9
2021 277  4 40   366.5
2021 277  4 45   366.6
2021 277  4 50   364.7
2021 277  4 55   362.9
2021 277  5  0   367.1
2021 277  5  5   365.7
2021 277  5 10   367.1
2021 277  5 15   366.5
2021 277  5 20   366.5
2021 277  5 25   367.1
2021 277  5 30 99999.9
2021 277  5 35   369.2
2021 277  5 40   368.1
2021 277  5 45   367.5
2021 277  5 50   364.8
2021 277  5 55   364.8
2021 277  6  0   365.2
2021 277  6  5   366.4
2021 277  6 10   364.7
2021 277  6 15   364.3
2021 277  6 20   369.6
2021 277  6 25   363.3
2021 277  6 30   364.9
2021 277  6 35   363.0
2021 277  6 40   360.1
2021 277  6 45   359.4
2021 277  6 50   358.5
2021 277  6 55   359.4
2021 277  7  0   361.6
2021 277  7  5 99999.9
2021 277  7 10   361.3
2021 277  7 15 99999.9
2021 277  7 20   360.3
2021 277  7 25   361.2
2021 277  7 30 99999.9
2021 277  7 35   361.2
2021 277  7 40   360.6
2021 277  7 45   363.3
2021 277  7 50   365.1
2021 277  7 55   364.6
2021 277  8  0   361.5
2021 277  8  5   361.0
2021 277  8 10   359.6
2021 277  8 15   358.9
2021 277  8 20   359.7
2021 277  8 25   359.8
2021 277  8 30   361.0
2021 277  8 35 99999.9
2021 277  8 40   361.1
2021 277  8 45   360.9
2021 277  8 50   356.3
2021 277  8 55   357.1
2021 277  9  0   359.9
2021 277  9  5   357.5
2021 277  9 10   355.6
2021 277  9 15   349.6
2021 277  9 20   348.8
2021 277  9 25   350.9
2021 277  9 30   348.1
2021 277  9 35   346.8
2021 277  9 40   348.5
2021 277  9 45   348.4
2021 277  9 50   348.8
2021 277  9 55   347.9
2021 277 10  0   346.6
2021 277 10  5   346.0
2021 277 10 10   354.5
2021 277 10 15   365.0
2021 277 10 20   365.4
2021 277 10 25   363.0
2021 277 10 30   361.1
2021 277 10 35   359.4
2021 277 10 40   360.8
2021 277 10 45   358.7
2021 277 10 50   354.0
2021 277 10 55   353.2
2021 277 11  0   353.8
2021 277 11  5   354.4
2021 277 11 10   354.5
2021 277 11 15   353.9
2021 277 11 20   353.8
2021 277 11 25   353.7
2021 277 11 30   355.2
2021 277 11 35   355.6
2021 277 11 40   356.5
2021 277 11 45   358.4
2021 277 11 50   357.3
2021 277 11 55   354.6
2021 277 12  0   356.5
2021 277 12  5   356.6
2021 277 12 10   353.3
2021 277 12 15   351.0
2021 277 12 20   355.9
2021 277 12 25   355.0
2021 277 12 30   356.1
2021 277 12 35   354.1
2021 277 12 40 99999.9
