Epoch	vel
2021-10-06 13:00:00	366.061400845305
2021-10-06 14:00:00	368.27447884505654
2021-10-06 15:00:00	372.1249360373714
2021-10-06 16:00:00	376.21257493358485
2021-10-06 17:00:00	380.6984666908215
2021-10-06 18:00:00	385.87627747957947
2021-10-06 19:00:00	391.50161388046826
2021-10-06 20:00:00	397.34706569196504
2021-10-06 21:00:00	403.3916687108152
2021-10-06 22:00:00	411.3742448255329
2021-10-06 23:00:00	418.85165899606505
2021-10-07 00:00:00	425.2004230570643
2021-10-07 01:00:00	430.39325459455915
2021-10-07 02:00:00	434.61391724049076
2021-10-07 03:00:00	438.09783228987965
2021-10-07 04:00:00	441.3754848282728
2021-10-07 05:00:00	445.0961134780198
2021-10-07 06:00:00	449.0643505221263
2021-10-07 07:00:00	453.7951088715897
