year	day	hr	v
2021	289	15	3.8369e+02
2021	289	16	3.7947e+02
2021	289	17	3.8100e+02
2021	289	18	3.7757e+02
2021	289	19	3.7442e+02
2021	289	20	0
2021	289	21	3.8157e+02
2021	289	22	3.6682e+02
2021	289	23	3.7226e+02
2021	290	0	3.7840e+02
2021	290	1	3.7267e+02
2021	290	2	3.7427e+02
2021	290	3	3.7942e+02
2021	290	4	3.6411e+02
2021	290	5	3.6764e+02
2021	290	6	3.6780e+02
2021	290	7	3.7035e+02
2021	290	8	3.5366e+02
2021	290	9	3.5618e+02
2021	290	10	3.5238e+02
2021	290	12	3.4467e+02
2021	290	13	3.3772e+02
2021	290	14	3.4401e+02
2021	290	15	3.5003e+02
2021	290	16	3.4654e+02
2021	290	17	3.4567e+02
2021	290	18	3.3811e+02
2021	290	19	3.4472e+02
2021	290	20	3.4196e+02
2021	290	21	3.3734e+02
2021	290	22	3.4377e+02
2021	290	23	3.3159e+02
2021	291	0	3.2680e+02
2021	291	1	3.3240e+02
2021	291	2	3.3100e+02
2021	291	3	3.2963e+02
2021	291	4	3.3006e+02
2021	291	5	3.2998e+02
2021	291	6	3.3788e+02
2021	291	7	3.4724e+02
2021	291	8	3.5463e+02
2021	291	9	3.5694e+02
2021	291	10	3.6287e+02
2021	291	11	3.6423e+02
2021	291	12	3.6929e+02
2021	291	13	3.7244e+02
2021	291	14	3.7505e+02
2021	291	15	3.6822e+02
2021	291	16	3.5909e+02
2021	291	17	3.5149e+02
2021	291	18	3.6293e+02
2021	291	19	3.6730e+02
2021	291	20	3.6870e+02
2021	291	21	3.7120e+02
2021	291	22	3.6525e+02
2021	291	23	3.6939e+02
2021	292	0	3.7686e+02
2021	292	1	3.7992e+02
2021	292	2	3.7327e+02
2021	292	3	3.5516e+02
2021	292	4	3.6252e+02
2021	292	5	3.5253e+02
2021	292	6	3.4825e+02
2021	292	7	3.5521e+02
2021	292	8	3.6755e+02
2021	292	9	3.5139e+02
2021	292	10	3.5466e+02
2021	292	11	3.6494e+02
2021	292	12	3.8160e+02
2021	292	13	3.8987e+02
2021	292	14	3.9632e+02
2021	292	15	3.9425e+02
2021	292	16	3.9469e+02
2021	292	17	3.9531e+02
2021	292	18	3.9137e+02
2021	292	19	3.8453e+02
2021	292	20	3.6972e+02
2021	292	21	3.9682e+02
2021	292	22	3.9777e+02
2021	292	23	3.9149e+02
2021	293	0	3.9567e+02
2021	293	1	3.9865e+02
2021	293	2	4.0602e+02
2021	293	3	3.9779e+02
2021	293	4	3.8533e+02
2021	293	5	3.8666e+02
2021	293	6	3.9741e+02
2021	293	7	3.9533e+02
2021	293	8	3.9970e+02
2021	293	9	3.8299e+02
2021	293	10	3.7415e+02
2021	293	11	3.7326e+02
2021	293	12	3.7113e+02
2021	293	13	3.7243e+02
2021	293	14	3.7528e+02
2021	293	15	3.7655e+02
2021	293	16	3.8336e+02
2021	293	17	3.8073e+02
2021	293	18	3.9868e+02
2021	293	19	4.0952e+02
2021	293	20	4.2943e+02
2021	293	21	4.4452e+02
2021	293	22	4.4192e+02
2021	293	23	5.1589e+02
2021	294	0	5.4771e+02
2021	294	1	5.3804e+02
2021	294	3	5.2635e+02
2021	294	4	5.2157e+02
2021	294	5	5.2110e+02
2021	294	6	5.2165e+02
2021	294	7	5.3146e+02
2021	294	8	5.1692e+02
2021	294	9	5.0776e+02
2021	294	10	5.0238e+02
2021	294	11	5.0064e+02
2021	294	12	4.8848e+02
2021	294	13	4.7924e+02
2021	294	14	4.7142e+02
2021	294	15	4.7715e+02
2021	294	16	5.0957e+02
2021	294	17	4.9615e+02
2021	294	18	5.1024e+02
2021	294	19	4.9729e+02
2021	294	20	4.7940e+02
2021	294	21	4.7728e+02
2021	294	22	4.7409e+02
2021	294	23	4.7769e+02
