year	day	hr	v
2021	284	13	3.8744e+02
2021	284	13	3.9277e+02
2021	284	13	3.7792e+02
2021	284	13	3.8425e+02
2021	284	13	3.9214e+02
2021	284	14	3.8277e+02
2021	284	14	3.7810e+02
2021	284	14	3.7782e+02
2021	284	14	3.7821e+02
2021	284	14	3.7573e+02
2021	284	15	3.6811e+02
2021	284	15	3.7204e+02
2021	284	15	3.5819e+02
2021	284	15	3.5929e+02
2021	284	15	3.7958e+02
2021	284	16	3.6821e+02
2021	284	16	3.7294e+02
2021	284	16	3.6479e+02
2021	284	16	3.5046e+02
2021	284	16	3.7417e+02
2021	284	17	3.8370e+02
2021	284	17	3.7588e+02
2021	284	17	3.7117e+02
2021	284	17	3.7506e+02
2021	284	17	3.6917e+02
2021	284	18	3.6788e+02
2021	284	18	3.6350e+02
2021	284	18	3.6495e+02
2021	284	18	3.6884e+02
2021	284	18	3.6836e+02
2021	284	19	3.6756e+02
2021	284	19	3.6965e+02
2021	284	19	3.7027e+02
2021	284	19	3.6762e+02
2021	284	19	3.7355e+02
2021	284	20	3.6832e+02
2021	284	20	3.6881e+02
2021	284	20	3.6692e+02
2021	284	20	3.6807e+02
2021	284	20	3.6804e+02
2021	284	21	3.6454e+02
2021	284	21	3.6368e+02
2021	284	21	3.6611e+02
2021	284	21	3.6297e+02
2021	284	21	3.5998e+02
2021	284	22	3.6122e+02
2021	284	22	3.5914e+02
2021	284	22	3.5767e+02
2021	284	22	3.5736e+02
2021	284	22	3.5251e+02
2021	284	23	3.6422e+02
2021	284	23	3.5991e+02
2021	284	23	3.5573e+02
2021	284	23	3.5171e+02
2021	284	23	3.5853e+02
2021	285	0	3.6423e+02
2021	285	0	3.6170e+02
2021	285	0	3.6410e+02
2021	285	0	3.6248e+02
2021	285	1	3.5601e+02
2021	285	1	3.6043e+02
2021	285	1	3.6243e+02
2021	285	1	3.5809e+02
2021	285	1	3.5985e+02
2021	285	2	4.7637e+02
2021	285	2	4.6776e+02
2021	285	2	4.6432e+02
2021	285	2	4.4050e+02
2021	285	2	4.3249e+02
2021	285	3	4.2796e+02
2021	285	3	0
2021	285	3	4.4177e+02
2021	285	3	4.2663e+02
2021	285	3	4.4097e+02
2021	285	4	4.4337e+02
2021	285	4	4.5043e+02
2021	285	4	4.5057e+02
2021	285	4	4.5460e+02
2021	285	4	4.4829e+02
2021	285	5	4.4516e+02
2021	285	5	4.4940e+02
2021	285	5	4.5101e+02
2021	285	5	4.5778e+02
2021	285	5	4.5095e+02
2021	285	6	4.5650e+02
2021	285	6	4.6176e+02
2021	285	6	4.4976e+02
2021	285	6	0
2021	285	6	4.7921e+02
2021	285	7	4.9455e+02
2021	285	7	4.9958e+02
2021	285	7	3.9044e+02
2021	285	7	4.7271e+02
2021	285	7	4.5410e+02
2021	285	8	4.5417e+02
2021	285	8	4.5125e+02
2021	285	8	4.5227e+02
2021	285	8	4.5502e+02
2021	285	8	4.6107e+02
2021	285	9	4.5144e+02
2021	285	9	4.5470e+02
2021	285	9	4.4906e+02
2021	285	9	4.4677e+02
2021	285	9	4.4731e+02
2021	285	10	4.4467e+02
2021	285	10	4.4027e+02
2021	285	10	4.4240e+02
2021	285	10	4.4499e+02
2021	285	10	4.4056e+02
2021	285	11	4.4293e+02
2021	285	11	4.4265e+02
2021	285	11	4.5073e+02
2021	285	11	4.4421e+02
2021	285	11	4.4970e+02
2021	285	12	4.4292e+02
2021	285	12	4.3995e+02
2021	285	12	4.4076e+02
2021	285	12	4.5196e+02
2021	285	12	4.5805e+02
2021	285	13	4.5219e+02
2021	285	13	4.4303e+02
2021	285	13	4.5065e+02
2021	285	13	4.5133e+02
2021	285	13	4.4768e+02
2021	285	14	4.5584e+02
2021	285	14	4.5522e+02
2021	285	14	4.5969e+02
2021	285	14	4.6340e+02
2021	285	14	4.6350e+02
2021	285	15	4.7261e+02
2021	285	15	4.7154e+02
2021	285	15	4.8410e+02
2021	285	15	4.7781e+02
2021	285	15	4.6709e+02
2021	285	16	4.7103e+02
2021	285	16	4.6849e+02
2021	285	16	4.6549e+02
2021	285	16	4.5458e+02
2021	285	17	4.5530e+02
2021	285	17	4.4735e+02
2021	285	17	4.5410e+02
2021	285	17	4.3867e+02
2021	285	17	4.3225e+02
2021	285	18	4.3466e+02
2021	285	18	4.3119e+02
2021	285	18	4.6650e+02
2021	285	18	4.5259e+02
2021	285	18	4.6372e+02
2021	285	19	4.6144e+02
2021	285	19	4.5243e+02
2021	285	19	4.4751e+02
2021	285	19	4.5112e+02
2021	285	19	4.5566e+02
2021	285	20	4.5702e+02
2021	285	20	4.4721e+02
2021	285	20	4.4312e+02
2021	285	20	4.4060e+02
2021	285	20	4.3860e+02
2021	285	21	4.4098e+02
2021	285	21	4.3212e+02
2021	285	21	4.2934e+02
2021	285	21	4.3148e+02
2021	285	21	4.6112e+02
2021	285	22	4.5045e+02
2021	285	22	4.5140e+02
2021	285	22	4.5167e+02
2021	285	22	4.4199e+02
2021	285	22	4.4641e+02
2021	285	23	4.4791e+02
2021	285	23	4.4689e+02
2021	285	23	4.4239e+02
2021	285	23	4.4407e+02
2021	285	23	4.4215e+02
2021	286	0	4.4536e+02
2021	286	0	4.4562e+02
2021	286	0	4.4384e+02
2021	286	0	4.4160e+02
2021	286	0	4.4009e+02
2021	286	1	4.4062e+02
2021	286	1	4.3773e+02
2021	286	1	4.4126e+02
2021	286	1	4.3507e+02
2021	286	1	4.3885e+02
2021	286	2	4.3618e+02
2021	286	2	4.4415e+02
2021	286	2	4.3544e+02
2021	286	2	4.4276e+02
2021	286	2	4.4161e+02
2021	286	3	4.4127e+02
2021	286	3	4.3847e+02
2021	286	3	4.3770e+02
2021	286	3	4.3800e+02
2021	286	3	4.3806e+02
2021	286	4	4.3527e+02
2021	286	4	4.3362e+02
2021	286	4	4.3271e+02
2021	286	4	4.3726e+02
2021	286	4	4.3163e+02
2021	286	5	4.3139e+02
2021	286	5	4.3190e+02
2021	286	5	4.3168e+02
2021	286	5	4.3099e+02
2021	286	5	4.2957e+02
2021	286	6	4.3439e+02
2021	286	6	4.2904e+02
2021	286	6	4.3154e+02
2021	286	6	4.2469e+02
2021	286	6	4.2580e+02
2021	286	7	4.2630e+02
2021	286	7	4.2922e+02
2021	286	7	4.2970e+02
2021	286	7	4.3060e+02
2021	286	7	4.2858e+02
2021	286	8	4.2682e+02
2021	286	8	4.1974e+02
2021	286	8	4.1869e+02
2021	286	8	4.1744e+02
