ET_time(sec) 	 time(sec of day) 	 freq_residual(Hz=exp-theo) 	 exp_dopp 	 theo_dopp 
686588098.6823435	10429.50000	-2886.098454	11397.01380	14283.11225
686588098.9323435	10429.75000	-2886.129283	11396.94380	14283.07308
686588099.1823435	10430.00000	-2884.969411	11398.06450	14283.03391
686588099.4323435	10430.25000	-2885.925638	11397.06910	14282.99474
686588099.6823435	10430.50000	-2883.922164	11399.03340	14282.95556
686588099.9323435	10430.75000	-2883.950589	11398.96580	14282.91639
686588100.1823435	10431.00000	-2883.590313	11399.28690	14282.87721
686588100.4323435	10431.25000	-2882.151237	11400.68680	14282.83804
686588100.6823435	10431.50000	-2882.920958	11399.87790	14282.79886
686588100.9323435	10431.75000	-2881.238979	11401.52070	14282.75968
686588101.1823435	10432.00000	-2881.560300	11401.16020	14282.72050
686588101.4323435	10432.25000	-2882.316119	11400.36520	14282.68132
686588101.6823435	10432.50000	-2882.889138	11399.75300	14282.64214
686588101.9323435	10432.75000	-2882.828256	11399.77470	14282.60296
686588102.1823435	10433.00000	-2883.629773	11398.93400	14282.56377
686588102.4323435	10433.25000	-2883.347189	11399.17740	14282.52459
686588102.6823435	10433.50000	-2882.962904	11399.52250	14282.48540
686588102.9323435	10433.75000	-2887.933818	11394.51240	14282.44622
686588103.1823435	10434.00000	-2882.073831	11400.33320	14282.40703
686588103.4323435	10434.25000	-2880.623442	11401.74440	14282.36784
686588103.6823435	10434.50000	-2882.299253	11400.02940	14282.32865
686588103.9323435	10434.75000	-2882.082464	11400.20700	14282.28946
686588104.1823435	10435.00000	-2879.660574	11402.58970	14282.25027
686588104.4323435	10435.25000	-2882.339982	11399.87110	14282.21108
686588104.6823435	10435.50000	-2880.299989	11401.87190	14282.17189
686588104.9323435	10435.75000	-2880.896896	11401.23580	14282.13270
686588105.1823435	10436.00000	-2879.733302	11402.36020	14282.09350
686588105.4323435	10436.25000	-2879.257507	11402.79680	14282.05431
686588105.6823435	10436.50000	-2879.694710	11402.32040	14282.01511
686588105.9323435	10436.75000	-2880.716313	11401.25960	14281.97591
686588106.1823435	10437.00000	-2878.589715	11403.34700	14281.93671
686588106.4323435	10437.25000	-2877.466316	11404.43120	14281.89752
686588106.6823435	10437.50000	-2873.279116	11408.57920	14281.85832
686588106.9323435	10437.75000	-2880.024015	11401.79510	14281.81912
686588107.1823435	10438.00000	-2880.680613	11401.09930	14281.77991
686588107.4323435	10438.25000	-2875.113110	11406.62760	14281.74071
686588107.6823435	10438.50000	16219.373493	30501.07500	14281.70151
686588107.9323435	10438.75000	-2885.265503	11396.39680	14281.66230
686588108.1823435	10439.00000	-2878.006896	11403.61620	14281.62310
686588108.4323435	10439.25000	-2879.041591	11402.54230	14281.58389
686588108.6823435	10439.50000	-2879.552183	11401.99250	14281.54468
686588108.9323435	10439.75000	-2876.234575	11405.27090	14281.50548
686588109.1823435	10440.00000	-2875.008066	11406.45820	14281.46627
686588109.4323435	10440.25000	-2876.161656	11405.26540	14281.42706
686588109.6823435	10440.50000	-2878.635945	11402.75190	14281.38784
686588109.9323435	10440.75000	-2877.878533	11403.47010	14281.34863
686588110.1823435	10441.00000	-2877.663021	11403.64640	14281.30942
686588110.4323435	10441.25000	-2878.085406	11403.18480	14281.27021
686588110.6823435	10441.50000	-2877.776491	11403.45450	14281.23099
686588110.9323435	10441.75000	-2877.524976	11403.66680	14281.19178
686588111.1823435	10442.00000	-2876.913259	11404.23930	14281.15256
686588111.4323435	10442.25000	-2878.339542	11402.77380	14281.11334
686588111.6823435	10442.50000	-2874.983324	11406.09080	14281.07412
686588111.9323435	10442.75000	-2874.394404	11406.64050	14281.03490
686588112.1823435	10443.00000	-2876.183485	11404.81220	14280.99568
686588112.4323435	10443.25000	-2875.809763	11405.14670	14280.95646
686588112.6823435	10443.50000	-2876.287741	11404.62950	14280.91724
686588112.9323435	10443.75000	-2873.478818	11407.39920	14280.87802
686588113.1823435	10444.00000	-2875.820394	11405.01840	14280.83879
686588113.4323435	10444.25000	-2875.698869	11405.10070	14280.79957
686588113.6823435	10444.50000	-2873.818044	11406.94230	14280.76034
686588113.9323435	10444.75000	-2873.563517	11407.15760	14280.72112
686588114.1823435	10445.00000	-2874.059488	11406.62240	14280.68189
686588114.4323435	10445.25000	-2874.480460	11406.16220	14280.64266
686588114.6823435	10445.50000	-2874.019331	11406.58410	14280.60343
686588114.9323435	10445.75000	-2872.835500	11407.72870	14280.56420
686588115.1823435	10446.00000	-2873.998370	11406.52660	14280.52497
686588115.4323435	10446.25000	-2874.512537	11405.97320	14280.48574
686588115.6823435	10446.50000	-2873.822903	11406.62360	14280.44650
686588115.9323435	10446.75000	-2872.646769	11407.76050	14280.40727
686588116.1823435	10447.00000	-2872.330935	11408.03710	14280.36803
